name,platform,year_of_release,genre,publisher,developer,na_sales,eu_sales,jp_sales,critic_score,user_score
Wii Sports,Wii,2006.0,Sports,Nintendo,Nintendo,41.36,28.96,3.77,76.0,8
Super Mario Bros.,NES,1985.0,Platform,Nintendo,,29.08,3.58,6.81,,
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,Nintendo,15.68,12.76,3.79,82.0,8.3
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,Nintendo,15.61,10.93,3.28,80.0,8
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,,11.27,8.89,10.22,,
Tetris,GB,1989.0,Puzzle,Nintendo,,23.2,2.26,4.22,,
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,Nintendo,11.28,9.14,6.5,89.0,8.5
Wii Play,Wii,2006.0,Misc,Nintendo,Nintendo,13.96,9.18,2.93,58.0,6.6
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,Nintendo,14.44,6.94,4.7,87.0,8.4
Duck Hunt,NES,1984.0,Shooter,Nintendo,,26.93,0.63,0.28,,
Nintendogs,DS,2005.0,Simulation,Nintendo,,9.05,10.95,1.93,,
Mario Kart DS,DS,2005.0,Racing,Nintendo,Nintendo,9.71,7.47,4.13,91.0,8.6
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,,9.0,6.18,7.2,,
Wii Fit,Wii,2007.0,Sports,Nintendo,Nintendo,8.92,8.03,3.6,80.0,7.7
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,Good Science Studio,15.0,4.89,0.24,61.0,6.3
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,Nintendo,9.01,8.49,2.53,80.0,7.4
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,Rockstar North,7.02,9.09,0.98,97.0,8.2
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,Rockstar North,9.43,0.4,0.41,95.0,9
Super Mario World,SNES,1990.0,Platform,Nintendo,,12.78,3.75,3.54,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,Nintendo,4.74,9.2,4.16,77.0,7.9
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,,6.38,4.46,6.04,,
Super Mario Land,GB,1989.0,Platform,Nintendo,,10.83,2.71,4.18,,
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,,9.54,3.44,3.84,,
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,Rockstar North,9.66,5.14,0.06,97.0,8.1
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,Rockstar North,8.41,5.49,0.47,95.0,8.7
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,,6.06,3.9,5.38,,
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,Nintendo,3.43,5.35,5.32,77.0,7.1
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,,5.51,3.17,5.65,,
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,Polyphony Digital,6.85,5.09,1.87,95.0,8.4
"Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,""Infinity Ward, Sledgehammer Games"",9.04,4.24,0.13,88.0,3.4"
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,,5.89,5.04,3.12,,
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,,6.03,5.86,0.36,,
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,Treyarch,9.7,3.68,0.11,87.0,6.3
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,,5.28,4.19,4.35,,
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,Treyarch,4.99,5.73,0.65,83.0,5.3
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,Treyarch,8.25,4.24,0.07,83.0,4.8
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,Infinity Ward,8.52,3.59,0.08,94.0,6.3
"Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,""Infinity Ward, Sledgehammer Games"",5.54,5.73,0.49,88.0,3.2"
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,DMA Design,6.99,4.51,0.3,97.0,8.5
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,Game Arts,6.62,2.55,2.66,93.0,8.9
"Mario Kart 7,3DS,2011.0,Racing,Nintendo,""Retro Studios, Entertainment Analysis & Development Division"",5.03,4.02,2.69,85.0,8.2"
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,Treyarch,5.99,4.37,0.48,88.0,6.4
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,Rockstar North,3.96,6.31,0.38,97.0,8.3
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,Nintendo,2.5,3.45,5.33,86.0,8.7
"Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,""Bungie Software, Bungie"",7.97,2.81,0.13,94.0,7.8"
Super Mario 64,N64,1996.0,Platform,Nintendo,,6.91,2.85,1.91,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,,4.34,2.71,3.96,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,,4.35,3.49,3.1,,
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,Polyphony Digital,3.01,0.01,1.1,89.0,8.5
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,Nintendo,6.06,3.35,1.2,97.0,8.9
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,,6.16,2.04,2.69,,
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,Rockstar North,6.76,3.07,0.14,98.0,7.9
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,Polyphony Digital,4.02,3.87,2.54,96.0,8.7
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,Nintendo,4.89,3.0,2.14,90.0,8.4
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,Polyphony Digital,2.96,4.82,0.81,84.0,7.5
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,Infinity Ward,4.99,3.64,0.38,94.0,6.3
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,,5.99,2.15,2.12,,
